duration,severity,affected,magnitude,dead
33,2,36750.19,6.4,3
26,1.5,6147.67,5.4,40
37,1.5,103769.52,6.8,112
15,1,66654.94,6,0
37,2,574056.99,7.6,12
23,2,526834.76,7.4,31
14,1,11409.69,5.2,1
10,1.5,6371.38,5,0
9,1,439381.83,6.6,14
10,1,402659.81,6.6,1
25,2,93202.05,6.7,180
6,1,56237.12,5.5,0
8,1,129124.64,6,1
7,1.5,4639.41,4.7,0
5,1.5,8231.84,4.8,0
14,1,438557.45,6.8,0
13,1,92984.74,6.1,0
6,1.5,1432949.6,7.1,0
15,2,392899.19,7.1,0
7,2,80271.75,6.1,54
2,1.5,441.218,3.1,0
12,1,837.216,4,0
2,2,6023.19,4.4,500
5,1.5,2895.95,4.3,16
13,2,61355.23,6.2,15
13,1.5,186816.02,6.6,30
5,1,192886.73,6,2
3,2,52859.22,5.5,3
26,1.5,686734.83,7.4,4
10,1,133852.96,6.1,3
3,1.5,63707.6,5.5,0
30,1,69190.14,6.3,5
4,1,9791.46,4.6,7
4,1.5,53741.01,5.5,8
11,1,22455.5,5.4,4
3,1,5957.41,4.3,4
36,2,296423.97,7.3,88
36,2,629961.61,7.7,206
12,1.5,28652.69,5.7,0
12,2,24336.74,5.8,20
5,1.5,109391.2,5.9,0
10,1,16151.08,5.2,4
8,1,776608.3,6.8,20
12,1,690931.31,6.9,3
6,1.5,30931.23,5.4,0
4,1.5,44261.07,5.4,3
7,1.5,56196.01,5.8,0
36,1.5,137039.96,6.9,166
8,1,4726.19,4.6,0
5,1.5,73485.14,5.7,10
9,1.5,16754.38,5.4,0
6,1.5,6346.62,4.8,7
3,1,161572.75,5.7,2
5,1.5,5567.64,4.6,1
6,1.5,43781.56,5.6,81
8,1.5,8948.6,5,0
6,1.5,12508.17,5.1,0
6,1,12034.28,4.9,40
3,1.5,13022.99,4.8,12
14,1.5,266950.09,6.7,150
28,1.5,60437.23,6.4,3
19,1,242622.13,6.7,0
9,1,19785.35,5.3,1
11,1,32595.44,5.6,0
5,1.5,224189.77,6.2,0
15,1.5,194128.66,6.6,12
9,1.5,7484.07,5,1
56,2,849464.57,8,38
5,1,14179.41,4.9,8
21,2,140968.57,6.8,58
48,1.5,247569.94,7.3,57
6,1.5,20432.58,5.3,13
2,2,192631.23,5.9,5
32,1.5,450353.51,7.3,5
3,1.5,21148.15,5,44
9,2,175487.07,6.5,4
3,1,3672.34,4,6
24,1,213897.13,6.7,0
42,1.5,68755.39,6.6,0
12,1.5,145834.77,6.4,0
12,1.5,70287.98,6.1,44
15,2,154773.16,6.7,27
52,1,173696.63,7,0
11,1.5,32934.83,5.7,13
9,1.5,168905.06,6.4,0
21,1.5,40007.02,6.1,38
15,1.5,10252.79,5.4,0
15,1.5,12133.31,5.4,60
9,1,7001.53,4.8,0
14,1.5,56870.12,6.1,0
11,1,60978.86,5.8,0
10,1.5,349365.45,6.7,7
5,1,11588.13,4.8,0
3,1.5,445272.72,6.3,0
5,1.5,487370.75,6.6,0
36,1.5,277594.75,7.2,0
5,1.5,122203.01,6,0
5,1,18063.44,5,0
9,1.5,151104.52,6.3,3
36,1.5,137629.71,6.9,23
40,2,485939.39,7.6,276
7,1.5,1519623.45,7.2,1
23,1.5,63967.39,6.3,53
13,2,90680.38,6.4,34
