Register #,Annual DFO # (discontinued),Glide #,Country,Other,Nations, Affected,Detailed Locations (click on active links to access inundation extents),Validation (post event #3503),Began,Ended,Duration in Days,Dead,Displaced,Damage (USD),Main cause,Severity *,Affected sq km,Magnitude (M)**,Centroid X,Centroid Y,"""News"" if validated",M>6,Total annual floods M>6,M>4,Total annual floods M>4,Date Began,Total floods M>6,Total floods M>4,,,,,,
4319,,0,United Kingdom,Ireland,#N/A,#N/A,"Northern England, Scotland, and Northern Ireland",News,5-Dec-15,6-Jan-16,33,3,64000,,Heavy Rain,2,36750.19,6.4,-2.77486,54.9868,News,1,50,1,101,05-Dec-15,1162,3786,,,,,,
4318,,TC-2015-000170-PHL,Philippines,0,#N/A,#N/A,"Oriental Mindoro, including the provinces of Albay, Northern Samar, Oriental Mindoro, Romblon and Sorsogon",News,12-Dec-15,6-Jan-16,26,40,20000,,"Tropical storms Melor, Onyok",1.5,6147.67,5.4,121.229,12.8357,News,0,49,1,100,12-Dec-15,1161,3785,,,,,,
4317,,0,Kenya,0,#N/A,#N/A,"Garissa, Tana River, Migori, Busia and Homa Bay",News,1-Dec-15,6-Jan-16,37,112,100000,,Heavy Rain,1.5,103769.52,6.8,39.5133,-2.03643,News,1,49,1,99,01-Dec-15,1161,3784,,,,,,
4316,,0,Australia,0,#N/A,#N/A,New South Wales Hunter region.,News,23-Dec-15,6-Jan-16,15,0,0,,Heavy Rain,1,66654.94,6.0,152.121,-30.3571,News,0,48,1,98,23-Dec-15,1160,3783,,,,,,
4315,,FL-2015-000171-PRY,Paraguay,Uruguay,#N/A,#N/A,"Paraguay River bordering Argentina, Alberdi; Uruguay River,  Cuaresma tributary, northern city of Atiga Uruguay",News,1-Dec-15,6-Jan-16,37,12,170000,,Heavy Rain,2,574056.99,7.6,-55.8482,-26.0369,News,1,48,1,97,01-Dec-15,1160,3782,,,,,,
4314,,0,USA,0,#N/A,#N/A,"Central and southern Mississippi Valley, Missouri, Illinois, Kentucky, Tennesee, Arkansas, Mississippi",News,15-Dec-15,6-Jan-16,23,31,4000,,Heavy Rain,2,526834.76,7.4,-91.0829,35.6658,News,1,47,1,96,15-Dec-15,1159,3781,,,,,,
4313,,0,Albania,0,#N/A,#N/A,"Northern counties of Kukës, Dibër, Durrës, Shkodër,  southern county of Gjirokastër, and around the capital in Tirana district, central Albania",News,21-Nov-15,4-Dec-15,14,1,300,,Heavy Rain,1,11409.69,5.2,19.9659,41.2871,News,0,46,1,95,21-Nov-15,1158,3780,,,,,,
4312,,FL-2015-000165-MDV,Maldives,0,#N/A,#N/A,Addu City,News,25-Nov-15,4-Dec-15,10,0,0,,Torrential Rain,1.5,6371.38,5.0,73.1892,-0.144295,News,0,46,1,94,25-Nov-15,1158,3779,,,,,,
4311,,0,USA,0,#N/A,#N/A,"Texas, Kansas, Oklahoma",News,26-Nov-15,4-Dec-15,9,14,300,,Heavy Rain,1,439381.83,6.6,-100.238,33.9839,News,1,46,1,93,26-Nov-15,1158,3778,,,,,,
4310,,FL-2015-000162-QAT,Qatar,Saudi Arabia,#N/A,#N/A,Qatar and central and eastern parts of Saudi Arabia,News,25-Nov-15,4-Dec-15,10,1,0,,Torrential Rain,1,402659.81,6.6,51.885,21.6586,News,1,45,1,92,25-Nov-15,1157,3777,,,,,,
